pair;plays;wins;loses;winrate1st;winrate2nd;
aandreev-avarov;1;1;0;100;0;
avarov-aandreev;1;0;1;0;100;
achuhlomin-amelnikov;1;1;0;100;0;
amelnikov-achuhlomin;1;0;1;0;100;
achuhlomin-ankislyakov;4;1;3;25;75;
ankislyakov-achuhlomin;4;3;1;75;25;
achuhlomin-aocheredko;11;6;5;55;45;
aocheredko-achuhlomin;11;5;6;45;55;
achuhlomin-arkislyakov;7;6;1;86;14;
arkislyakov-achuhlomin;7;1;6;14;86;
achuhlomin-astelmaschuk;1;1;0;100;0;
astelmaschuk-achuhlomin;1;0;1;0;100;
achuhlomin-dtomilov;1;1;0;100;0;
dtomilov-achuhlomin;1;0;1;0;100;
achuhlomin-ibykov;2;2;0;100;0;
ibykov-achuhlomin;2;0;2;0;100;
achuhlomin-vbugaev;4;3;1;75;25;
vbugaev-achuhlomin;4;1;3;25;75;
alupook-vbugaev;3;1;2;33;67;
vbugaev-alupook;3;2;1;67;33;
amelnikov-aocheredko;67;3;64;4;96;
aocheredko-amelnikov;67;64;3;96;4;
amelnikov-arkislyakov;44;2;42;5;95;
arkislyakov-amelnikov;44;42;2;95;5;
amelnikov-astelmaschuk;2;1;1;50;50;
astelmaschuk-amelnikov;2;1;1;50;50;
amelnikov-dtomilov;8;6;2;75;25;
dtomilov-amelnikov;8;2;6;25;75;
amelnikov-ibykov;3;3;0;100;0;
ibykov-amelnikov;3;0;3;0;100;
amelnikov-imaskin;7;1;6;14;86;
imaskin-amelnikov;7;6;1;86;14;
amelnikov-vbugaev;28;4;24;14;86;
vbugaev-amelnikov;28;24;4;86;14;
ankislyakov-aandreev;1;1;0;100;0;
aandreev-ankislyakov;1;0;1;0;100;
ankislyakov-alupook;1;1;0;100;0;
alupook-ankislyakov;1;0;1;0;100;
ankislyakov-amelnikov;13;13;0;100;0;
amelnikov-ankislyakov;13;0;13;0;100;
ankislyakov-aocheredko;75;24;51;32;68;
aocheredko-ankislyakov;75;51;24;68;32;
ankislyakov-aparshin;1;1;0;100;0;
aparshin-ankislyakov;1;0;1;0;100;
ankislyakov-arkislyakov;133;43;90;32;68;
arkislyakov-ankislyakov;133;90;43;68;32;
ankislyakov-asmirnov;8;1;7;13;88;
asmirnov-ankislyakov;8;7;1;88;13;
ankislyakov-astelmaschuk;16;14;2;88;13;
astelmaschuk-ankislyakov;16;2;14;13;88;
ankislyakov-avarov;2;1;1;50;50;
avarov-ankislyakov;2;1;1;50;50;
ankislyakov-dtomilov;10;10;0;100;0;
dtomilov-ankislyakov;10;0;10;0;100;
ankislyakov-gmazur;1;1;0;100;0;
gmazur-ankislyakov;1;0;1;0;100;
ankislyakov-ibykov;2;2;0;100;0;
ibykov-ankislyakov;2;0;2;0;100;
ankislyakov-ikuznetsov;1;1;0;100;0;
ikuznetsov-ankislyakov;1;0;1;0;100;
ankislyakov-ilevshtanov;13;8;5;62;38;
ilevshtanov-ankislyakov;13;5;8;38;62;
ankislyakov-imaskin;10;7;3;70;30;
imaskin-ankislyakov;10;3;7;30;70;
ankislyakov-vbugaev;33;12;21;36;64;
vbugaev-ankislyakov;33;21;12;64;36;
aocheredko-aandreev;2;2;0;100;0;
aandreev-aocheredko;2;0;2;0;100;
aocheredko-alupook;4;4;0;100;0;
alupook-aocheredko;4;0;4;0;100;
aocheredko-aparshin;3;3;0;100;0;
aparshin-aocheredko;3;0;3;0;100;
aocheredko-arkislyakov;96;68;28;71;29;
arkislyakov-aocheredko;96;28;68;29;71;
aocheredko-asmirnov;23;7;16;30;70;
asmirnov-aocheredko;23;16;7;70;30;
aocheredko-astelmaschuk;25;20;5;80;20;
astelmaschuk-aocheredko;25;5;20;20;80;
aocheredko-avarov;11;10;1;91;9;
avarov-aocheredko;11;1;10;9;91;
aocheredko-dtomilov;29;28;1;97;3;
dtomilov-aocheredko;29;1;28;3;97;
aocheredko-ephilipchack;3;3;0;100;0;
ephilipchack-aocheredko;3;0;3;0;100;
aocheredko-gmazur;1;1;0;100;0;
gmazur-aocheredko;1;0;1;0;100;
aocheredko-ibykov;8;8;0;100;0;
ibykov-aocheredko;8;0;8;0;100;
aocheredko-ilevshtanov;14;13;1;93;7;
ilevshtanov-aocheredko;14;1;13;7;93;
aocheredko-imaskin;13;10;3;77;23;
imaskin-aocheredko;13;3;10;23;77;
aocheredko-shikov;1;1;0;100;0;
shikov-aocheredko;1;0;1;0;100;
aocheredko-vbugaev;58;35;23;60;40;
vbugaev-aocheredko;58;23;35;40;60;
aocheredko-vvasilev;2;2;0;100;0;
vvasilev-aocheredko;2;0;2;0;100;
aparshin-amelnikov;2;2;0;100;0;
amelnikov-aparshin;2;0;2;0;100;
aparshin-arkislyakov;2;2;0;100;0;
arkislyakov-aparshin;2;0;2;0;100;
aparshin-astelmaschuk;2;2;0;100;0;
astelmaschuk-aparshin;2;0;2;0;100;
aparshin-ephilipchack;12;6;6;50;50;
ephilipchack-aparshin;12;6;6;50;50;
arkislyakov-aandreev;3;3;0;100;0;
aandreev-arkislyakov;3;0;3;0;100;
arkislyakov-alupook;4;4;0;100;0;
alupook-arkislyakov;4;0;4;0;100;
arkislyakov-astelmaschuk;38;33;5;87;13;
astelmaschuk-arkislyakov;38;5;33;13;87;
arkislyakov-avarov;2;1;1;50;50;
avarov-arkislyakov;2;1;1;50;50;
arkislyakov-dtomilov;26;24;2;92;8;
dtomilov-arkislyakov;26;2;24;8;92;
arkislyakov-ephilipchack;9;5;4;56;44;
ephilipchack-arkislyakov;9;4;5;44;56;
arkislyakov-gmazur;2;2;0;100;0;
gmazur-arkislyakov;2;0;2;0;100;
arkislyakov-ibykov;2;2;0;100;0;
ibykov-arkislyakov;2;0;2;0;100;
arkislyakov-ilevshtanov;19;10;9;53;47;
ilevshtanov-arkislyakov;19;9;10;47;53;
arkislyakov-imaskin;16;6;10;38;63;
imaskin-arkislyakov;16;10;6;63;38;
arkislyakov-vbugaev;45;19;26;42;58;
vbugaev-arkislyakov;45;26;19;58;42;
asmirnov-aandreev;1;1;0;100;0;
aandreev-asmirnov;1;0;1;0;100;
asmirnov-achuhlomin;6;6;0;100;0;
achuhlomin-asmirnov;6;0;6;0;100;
asmirnov-amelnikov;12;12;0;100;0;
amelnikov-asmirnov;12;0;12;0;100;
asmirnov-arkislyakov;16;16;0;100;0;
arkislyakov-asmirnov;16;0;16;0;100;
asmirnov-astelmaschuk;3;3;0;100;0;
astelmaschuk-asmirnov;3;0;3;0;100;
asmirnov-dtomilov;2;2;0;100;0;
dtomilov-asmirnov;2;0;2;0;100;
asmirnov-gmazur;1;1;0;100;0;
gmazur-asmirnov;1;0;1;0;100;
asmirnov-ibykov;1;1;0;100;0;
ibykov-asmirnov;1;0;1;0;100;
asmirnov-ilevshtanov;4;4;0;100;0;
ilevshtanov-asmirnov;4;0;4;0;100;
asmirnov-imaskin;1;1;0;100;0;
imaskin-asmirnov;1;0;1;0;100;
asmirnov-vbugaev;7;6;1;86;14;
vbugaev-asmirnov;7;1;6;14;86;
astelmaschuk-avarov;2;1;1;50;50;
avarov-astelmaschuk;2;1;1;50;50;
astelmaschuk-dtomilov;8;6;2;75;25;
dtomilov-astelmaschuk;8;2;6;25;75;
astelmaschuk-ilevshtanov;6;1;5;17;83;
ilevshtanov-astelmaschuk;6;5;1;83;17;
astelmaschuk-vbugaev;27;3;24;11;89;
vbugaev-astelmaschuk;27;24;3;89;11;
avarov-dtomilov;3;2;1;67;33;
dtomilov-avarov;3;1;2;33;67;
avarov-ibykov;2;2;0;100;0;
ibykov-avarov;2;0;2;0;100;
dtomilov-aparshin;1;1;0;100;0;
aparshin-dtomilov;1;0;1;0;100;
dtomilov-ikuznetsov;1;1;0;100;0;
ikuznetsov-dtomilov;1;0;1;0;100;
dtomilov-ilevshtanov;12;1;11;8;92;
ilevshtanov-dtomilov;12;11;1;92;8;
dtomilov-vbugaev;12;2;10;17;83;
vbugaev-dtomilov;12;10;2;83;17;
ephilipchack-ankislyakov;1;1;0;100;0;
ankislyakov-ephilipchack;1;0;1;0;100;
ephilipchack-dtomilov;1;1;0;100;0;
dtomilov-ephilipchack;1;0;1;0;100;
ephilipchack-imaskin;4;2;2;50;50;
imaskin-ephilipchack;4;2;2;50;50;
ephilipchack-vbugaev;5;1;4;20;80;
vbugaev-ephilipchack;5;4;1;80;20;
gmazur-ilevshtanov;1;1;0;100;0;
ilevshtanov-gmazur;1;0;1;0;100;
ibykov-alupook;2;2;0;100;0;
alupook-ibykov;2;0;2;0;100;
ilevshtanov-aandreev;1;1;0;100;0;
aandreev-ilevshtanov;1;0;1;0;100;
ilevshtanov-achuhlomin;1;1;0;100;0;
achuhlomin-ilevshtanov;1;0;1;0;100;
ilevshtanov-alupook;2;2;0;100;0;
alupook-ilevshtanov;2;0;2;0;100;
ilevshtanov-amelnikov;6;6;0;100;0;
amelnikov-ilevshtanov;6;0;6;0;100;
ilevshtanov-ephilipchack;1;1;0;100;0;
ephilipchack-ilevshtanov;1;0;1;0;100;
ilevshtanov-ikuznetsov;1;1;0;100;0;
ikuznetsov-ilevshtanov;1;0;1;0;100;
ilevshtanov-imaskin;5;1;4;20;80;
imaskin-ilevshtanov;5;4;1;80;20;
ilevshtanov-vbugaev;5;1;4;20;80;
vbugaev-ilevshtanov;5;4;1;80;20;
ilevshtanov-vvasilev;1;1;0;100;0;
vvasilev-ilevshtanov;1;0;1;0;100;
imaskin-aandreev;1;1;0;100;0;
aandreev-imaskin;1;0;1;0;100;
imaskin-achuhlomin;1;1;0;100;0;
achuhlomin-imaskin;1;0;1;0;100;
imaskin-astelmaschuk;4;4;0;100;0;
astelmaschuk-imaskin;4;0;4;0;100;
imaskin-dtomilov;6;6;0;100;0;
dtomilov-imaskin;6;0;6;0;100;
imaskin-vbugaev;18;6;12;33;67;
vbugaev-imaskin;18;12;6;67;33;
vbugaev-aandreev;1;1;0;100;0;
aandreev-vbugaev;1;0;1;0;100;
vbugaev-aparshin;3;3;0;100;0;
aparshin-vbugaev;3;0;3;0;100;
vbugaev-avarov;2;2;0;100;0;
avarov-vbugaev;2;0;2;0;100;
vbugaev-dkosarev;1;1;0;100;0;
dkosarev-vbugaev;1;0;1;0;100;
vbugaev-ibykov;3;3;0;100;0;
ibykov-vbugaev;3;0;3;0;100;
vbugaev-ikuznetsov;1;1;0;100;0;
ikuznetsov-vbugaev;1;0;1;0;100;